
# Clustering Algorithm Comparison Summary Report

## Experiment Overview
- **Date**: 2025-07-18 20:02:14
- **Total Algorithms**: 14
- **Total Datasets**: 7
- **Total Experiments**: 98
- **Successful Experiments**: 90

## Algorithm Success Rates
- **OriginScale**: 7/7 (100.00%)
- **K-Means (Random)**: 7/7 (100.00%)
- **K-Means++**: 7/7 (100.00%)
- **Mini-Batch K-Means**: 7/7 (100.00%)
- **DBSCAN**: 7/7 (100.00%)
- **Agglomerative**: 7/7 (100.00%)
- **Affinity Propagation**: 7/7 (100.00%)
- **GMM**: 7/7 (100.00%)
- **Mean Shift**: 7/7 (100.00%)
- **OPTICS**: 7/7 (100.00%)
- **BIRCH**: 7/7 (100.00%)
- **Spectral Clustering**: 7/7 (100.00%)
- **K-Medoids**: 7/7 (100.00%)
- **HDBSCAN**: 7/7 (100.00%)

## Best Performers
- **Best Silhouette Score**: OPTICS on anisotropic (Score: 0.9030)
- **Fastest Algorithm**: OriginScale on wine (0.0003s)

## Dataset-wise Metrics, Memory, and Execution Time

### Dataset: moons
| Algorithm | Silhouette Score | Calinski Harabasz Score | Davies Bouldin Score | Execution Time | Memory Usage |
|---|---|---|---|---|---|
| OriginScale | 0.4820 | 1430.5970 | 0.7902 | 0.0011 | 0.0000 |
| K-Means (Random) | 0.4820 | 1430.5970 | 0.7902 | 0.0655 | 0.7031 |
| K-Means++ | 0.4820 | 1430.5970 | 0.7902 | 0.0203 | 0.0625 |
| Mini-Batch K-Means | 0.4818 | 1427.5678 | 0.7899 | 0.0354 | 0.1719 |
| Agglomerative | 0.4394 | 1068.5132 | 0.7975 | 0.0072 | 6.8594 |
| Affinity Propagation | 0.4072 | 2869.0904 | 0.7549 | 0.4287 | 40.1719 |
| GMM | 0.4640 | 1248.3959 | 0.8304 | 0.0524 | 0.2031 |
| Mean Shift | 0.4691 | 1284.2413 | 0.8207 | 2.0361 | -104.9375 |
| OPTICS | 0.7095 | 1988.7230 | 0.3963 | 1.3631 | 1.6562 |
| BIRCH | 0.4448 | 1154.0539 | 0.7855 | 0.0068 | 0.0000 |
| Spectral Clustering | 0.4373 | 1080.5500 | 0.8285 | 0.4292 | 1.7969 |
| K-Medoids | 0.4790 | 1388.1218 | 0.7857 | 0.0601 | 6.1250 |
